,message,label
27,"Los mejores libros de Abdulrazak Gurnah, el ganador del Nobel de Literatura",non-racist
28,"MAÑANA entrevistamos a los chicos de @VeraFauna 🌞⛱️🌅 Pop luminoso, psicodelia playera, tropicalismo, andalucismo, costumbrismo y crítica. Sí, los que le pusieron banda sonora guayona a la cuarentena, los mismos:",non-racist
29,Ya están detenidos dos rumanos señalados de cometer fraudes bancarios.,racist
30,"“El autor, A. T., de origen magrebí y de 21 años, ha sido detenido.” Hola @IreneMontero fuera chusma de nuestro país y tú con ellos por silenciarlo. #StopInvasión #StopMafias #DeportacionesYa Ojo Canarias con la peste de magrebíes ilegales que azotan a las islas... #SOSCANARIAS",racist
31,"@nlopeztrujillo No pero la inseguridad en Madrid es por los menas y los inmigrantes ilegales que ocupan viviendas, ahora que habiendo tan buenas clínicas privadas la verdad podrías rascar el bolsillo y te asocias a una y no tienes que esperar.😉",racist
32,"@IreneMontero Y las mujeres que lo hacen ( la chica violada entre cuatro magrebíes en Canarias hace poco) no tienen suficiente visibilidad porque los que las violan, no son españoles, verdad reina? Se te tenía que caer la cara de vergüenza, feminista a medias y solo para tu beneficio",racist
33,"@gorka581 @Alvisepf El Alvisé inventándose la historia como de costumbre 🤣🤦‍♀️Unos Magrebíes dan una paliza a un ""español"" por defender a una chica... Y el supuesto ""español"" es más moreno q el azúcar de los mojitos q se toma la Ayuso 🤣🤣🤣.",racist
34,"@tapiaco91 Todo eso viene de casa que es donde se le educa. Aqui en la comunidad una familia que tiene un poco más cholea a quien no tiene nada, yo llame la atención a los padres porque en lugar de llamar la atención se reian ayudando q el chico naturalice el #Racismo y #Discriminacion",non-racist
35,"Uno de ellos es brazileño. De la manada de magrebíes si que no sabemos nada, no como de la Manada de los San Fermines, hay criminales de primera y criminales de segunda, ¿no?",racist
36,"@SAbichuelo @Vietgal1 Dicen que eran menas. Igual se estaban metiendo con él y él los grabó. O igual no. La verdad es que se han oído muchas cosas, mejor esperar a que se aclare un poco el tema.",non-racist
37,Prisión para dos inmigrantes marroquíes por agresión sexual y amenazas con cuchillo a una joven en Córdoba,racist
38,"Monrrow, CEO de @InFinitye_sport: ""siempre respetamos la ideología de tener latinos""",non-racist
39,"Sin vacilación: el #racismo, en cualquier variante, cruda o velada, despiadada o disfrazada de jarana, es una vejatoria e inaceptable postura que lacera la dignidad de las personas, incompatible con la razón y la vocación humanista de la #RevoluciónCubana.",non-racist
40,"No me vengan a tirar los perros por dm si no son chakales ni negros, en serio no me gustan cállense",non-racist
41,Un cuidador es un familiar que cuida a otro miembro de la familia. Puede ser difícil buscar recursos y apoyo. Estamos aquí para ayudar. Tenemos grupos de apoyo y talleres SIN COSTO para ayudarlos y apoyarlos. Llámenos al 844-435-7259 #latinos #alzheimer,non-racist
42,La INVASIÓN continúa. 😔Muchos de ellos serán la consecuencia de la desgracia de más de una familia Española. O parece que vienen a trabajar? 🤔 #LaÑEstáEnPeligro,racist
43,@CelebiCeleste Odio el de la panda de magrebìes ue dan la.paliza a uno en Tarrasa.,non-racist
44,"@OtraPendeja Salen esos panchitos, pizzas, picadas, choris, snacks, gaseosas y demás. Todo sin etiquetado así termina de enloquecer.",non-racist
45,Vecinos de Casabermeja (Málaga) se hartan de los okupas: batalla campal contra los delincuentes,racist
46,"@All_themwitches @PiensaPrensa @BastianFuentesA no sabes lo que realmente pasa en chile, más bien iquique una ciudad tranquila llena de paz que se está llenando de inmigrantes ilegales, los cuales son delincuentes y/o sicarios. Ahora parece una ciudad como las de mexico o colombia",racist
47,@MadridDirecto @DavideCasasus Fuero todos esos inmigrantes delincuentes a sus países de origen y los ilegales ni que decir.,racist
48,"@occidcomitatus Me puse a leer sobre él, y si bien el cartaginés me sigue pareciendo superior en cuanto a cruce por pasos montañosos respecta, el romano no deja de ser notable. Eso si, como quedaron él y los persas le dejó camino libre a los árabes de manera que ninguno de los 2 esperaba jajaja",non-racist
49,"Los chilenos, tanto como los judíos y toda nación, tenemos todo derecho a poner condiciones a quiera avencindarse entre nosotros. Los que alegan que los inmigrantes ilegales tienen mejores derechos que los nuestros son totalitarios y usualmente criminales",racist
50,"Estuvimos en: 📍Plaza Gral San Martin, Morón Centro. 📍 Barrio Carlos Gardel, El Palomar. 📍Plaza de los Inmigrantes, Castelar. 📍Corredor Stevenson, Moron Sur. ❤️ Seguimos promoviendo el acercamiento de las políticas públicas a la comunidad.",racist
51,@OnlyHAL2 Joer con los moros 3 días de Fartura Pal celebrar el cordero degollado Seguro que Garzón está invitado y el cordero subvencionado por consumo y cultura,racist
52,@luissuarezherna Ahora resulta que Jaime I era independentista y amante de los musulmanes...si es que la izquierda es ignorante y dañita.,non-racist
53,@FinchMD10 @Juezcentral Ah y que fue la URSS quién liberó a los judíos de los campos de concentración polacos y alemanes? Quiénes son los racistas?,non-racist
54,Lluvia artificial en Emiratos Árabes Unidos: cómo ‘siembran nubes’ – Medio Oriente – Internacional,non-racist
55,"@graphicissimus @timeo2danaos1 @bballestin @irene_menas @No_solo_dibujo --¡Ay! --¡Séneca! ¿Qué tienes? --Las agujas, que me dan cosa. --Si es un pinchacito de nada, hombre. --¡Pues pínchate tú! --Tú, más que estoico, eres un cagao. --Pues vale, pues muy bien.",non-racist
56,"Primero los explotaron y lus tuvieron en barracones en Mutjuit y en la Barcelona, a otros los devolvieron a sus pueblos en trenes borreguiles y los que salieron adelante lo hicieron sin ayudas, no como los moros de hoy. SINVERGÜENZA VENDIDO",non-racist
57,Los presidentes de España fueron recibidos 16 veces en la Casa Blanca que Sánchez no pisará en su viaje,non-racist
58,"“En todo el globo se registran unas 70 erupciones anuales entre los 1.500 volcanes que se consideran activos en el mundo”. 🗞️ Echa un ojo a este artículo de @eldiarioes, está lleno de curiosidades: ✔️ ✔️",non-racist
59,"@AitorMiller Pues no ha llovido, tonto el nabo.",non-racist
60,@enzodiip Los judios cojen igual,non-racist
61,"@CapitanBitcoin Lo que no puedo comprender es el estancamiento de jóvenes entre 40 y 20 años en temas como el de los menas y exmenas.Ellos tienen que cumplir con la ley ,son españoles y muchos en casa de papi.A los IILEGALES que deberían ser deportados les dan.... y ellos no reaccionan.Asi .....",racist
62,"Habla de decencia🤮 Esta RATA prepotente sí estuviera gobernando, ya estaría llenando cárceles. #IglesiasParásito #LaRataPrepotente #IglesiasDimision #LAÑESTÁENPELIGRO",non-racist
63,"@DHollyday7 Y oye de la chica que la molieron a palos en Madrid hace escasos días entre 5 o 6 moros,le sacaron la dentadura no dice nada,amén de robarle y seguramente intentar violarla,como por otra parte hacen casi cada día los inmigrantes en este País,este es un demagogo,un falso profeta.",racist
64,"@TigrilloTW El que lo vanaliza es la persona que presenta una denuncia de ese tipo, aprovecha la politización asquerosa que hace la izquierda de estos temas, para salvar un tema personal, mientras tanto pasa desapercibida la paliza brutal a una chica en Sol por una banda de magrebíes",racist
65,"@fbustosserrano @Marian18Cruz @Santi_ABASCAL Mientes. Eso es deformar la realidad. Pero las agresiones realizadas por magrebíes a policias, taxistas, ciudadanos y mujeres son reiteradas. A nuestros delincuentes tenemos que aguantarlos, pero los extranjeros que delinquen, que cumplan sus penas en sus paises de origen.",racist
66,"@irene_menas San Abundio fue el cuarto obispo de la ciudad italiana de Como, sucediendo a San Amancio, que también las liaba...",non-racist
67,@irene_menas Dan ganas de meterse en el agua.😍,non-racist
68,"@elentirvigo @Jorgebuxade Pero que HP no??? Esta escoria es lo que tenemos dentro de nuestro territorio, País llamado España... Magrebies, negros africanos, inmigrantes ilegales, etc, etc... A ""hostias y palos"" hay que sacarlos...",racist
69,"@limsor A los judíos se les culpó de las plagas de Egipto, del asesinato de Jesús, de la Peste Negra (s. XIV), de todas las crisis económicas, de crear el covid19, etc., siempre la misma lacra, el mismo virus del #antisemitismo #racista deleznable. Desde Asociación Fania lo CONDENAMOS.",non-racist
70,"""En ese momento tenías la sensación de que algo estaba cambiando. Los parámetros en los que habíamos hecho política en el ámbito del activismo social de repente se habían ensanchado"", @agarzon actual ministro de Consumo. #15MPODCAST :",non-racist
71,Ojo yo estoy criticando judíos mediocres y no artistas.,non-racist
72,@policia A qué se debe tanto consejo sobre agresiones sexuales??? Es por el aumento de la inmigración ilegal y los menas?? Dónde están los agresores de la niña de Igualada?? Por qué no hablais claro??,racist
73,"@libertaaddexp76 Si presidenta del club de 🐀🐀🐀 Bolivarianas parásitos, vagos,veganos, de los animalistas, delincuentes, okupas,de Filoetarras, y antisistema, menas. Y Presidenta de la Narcodictadura, extrema izquierda Populista y de la clase trabajadora de este País.😂😂🐀🐀🍆🍆",racist
74,Perseguir delincuentes NO Narcotraficantes NO roba coches NO VandalosNO Menas NO Atracadores NO PERSEGUIR AL CIUDADANO SI...,racist
75,"@Biba4343 @populares @pablocasado_ El PP tiene que pedir PERDÓN a todos los Españoles, por el daño que nos están haciendo, son ustedes unos COBARDES, todos los INMIGRANTES ILEGALES, deportación inmediata YA Roban, violan, okupan, agreden violenta/, homófobos, machistas, segracionistas, intolerantes religiosos...",racist
76,Alevoso como la policía de Trelew libera zona en pleno centro de la ciudad (especialmente cerca de la YPF de inmigrantes),non-racist
77,Dos ladrones magrebíes abusan sexualmente de una joven e intentan desnudarla en una plaza del centro de Valencia,racist
78,"Estos pakis de mierda y sus estereotipos de mierda, chabón quiero una funda que carajo te importa si quiero de hombre o de mujer MOSTRAME NOMÁS",non-racist
79,"@iescolar Escolar, la gente está hasta los cojones de las violaciones, agresiones, robos, amenazas y palizas que reciben de menas, magrebíes e inmigrantes ilegales. Coño, ¿porque no publicas las violaciones casi diarias que sufrimos por esta gentuza? Hay Barrios que están al limite",racist
80,"Como veo las cosas en tarapacá 1.- Sicarios detenidos en colchane e iquique 2.-inmigrantes se tomas las calles, parques y playas de Iquique. Creo que será mejor andar con palos y fierros cuando salgamos de nuestras casas #NoMasInmigrantes",racist
81,El conde que falsificó su nobleza: la picaresca nobiliaria que obligó a actuar al Consejo de Ministros vía @eldiarioes,non-racist
82,"Cartagena. Vecinos denuncian continuos robos. Grupo de 5-6 magrebís. en ciudad y campo. ¿Dónde están la Policía y la Guardia Civil? Uno por otro, la casa sin barrer. Están identificando y multando a ciudadanos que pasean porque es lo que exigen sus jefes, estadísticas. #Basura",racist
83,@Jorgebuxade @El_Parte_ Mientras tanto menas e ilegales chupan a placer de la dulce teta de la madre patria. Arriba Sánchez Castejón.,racist
84,@enriiquee19 al ser en la ciudad de los menas creo Bordalás pechea,racist
85,🔴 Barcelona 5 individuos de origen extranjero agreden a un hombre en Barcelona para robarle el reloj. Ya están detenidos por los Mossos.,racist
86,Vanesa Martín se junta con Sabina y los fans sueñan con una colaboración,non-racist
87,Según la Delegación del Gobierno en Canarias las infracciones penales cayeron un 6% el último trimestre del 2020 en las islas. Percepción vs realidad.,non-racist
88,@rod22daiz @Mark74274260 @Ramon_AlvarezMM Madrid Ciudad racista donde pegan gays negros moros y noruegos,non-racist
89,@islamenmurcia @VivirSinRacismo @CONGDRMurcia @pacoviudes @GinesRuizMacia @mgfigal @Llampico @Ballesta_Murcia @SerranoJAntonio @antelini @VicepresidenRM Vaya por delante mi condena pero ....ellos condenan las agresiones en manada de magrebíes ?,racist
90,Tenemos lo que nos merecemos? hay demasiados idiotas votando. #SoloQuedaVox,non-racist
91,@abc_es Y no sabemos el origen de los delincuentes- asesinos 1-moros 2-ilegales 3-menas 4-todas las anteriores son correctas,racist
92,El mapa de las luces de Navidad de @Transparentia_ está en constante actualización y ya son 125 los que puedes consultar. Algunos recientemente añadidos: 💡 Benalmádena 💡 Segovia 💡 Mollet del Vallès #TransparentiaNavidad,non-racist
93,"@AliciaTsMn2 @_tracia_ Todo dicho, mis queridas compatriotas. Una denuncia más y, son magrebies claro, pero Magrebies de Marruecos. No son de Túnez, ni de Argelia, ni Libios, SON MARROQUIES E ILEGALES q están en España X culpa de PSOE Y PARTIDO POPULAR ( PP), los consentidores de todo estos atropellos",racist
94,"@unkaos @Alvisepf @guardiacivil Como los de ETA , indepes o los ilegales y menas?",racist
95,"Cádiz – Mallorca, en directo: resultado, goles y minuto a minuto de la Liga Santander hoy",non-racist
96,que viva Venezuela que viva la revolución bolivariana que viva nicolas maduro moros primitivo cedeño gobernador de portuguesa,non-racist
97,"Gente, no os paseis con la sidrq antes De las camoanadas, yo ya ando con dolor De cabeza XD. feliz ano a todos Los Latinos que ya esteis en 2022",non-racist
98,@qypbvyhjcn Se paga con el dinero de Israel. Están los judíos muy involucrados en ello.,non-racist
99,@HLFrisbie @Navegaciones @Erickisback1 @andreskeiman @BernieSanders Claro! Tu crees que los países Árabes lo van a permitir... por favor! Seamos sensatos! Sean sensatos!,non-racist
100,"@ElHuffPost ¿Para cuándo una información sin sesgo y veraz? Hasta entonces, sugiero que informen de las agresiones diarias, violaciones en manada, robos etc..a los españoles (de toda condición) por parte de los Menas. Gracias!",racist
101,"❗️ #ÚLTIMAHORA | Dos jóvenes magrebíes abusan sexualmente de una chica estadounidense e intentan desnudarla en plena calle tras robarle el móvil y agredir a sus dos amigos. A su país ¡ya! Ribó, Puig y Oltra continuan importando violadores y delincuentes.",racist
102,"Señales de la segunda avenida De Dios •Hostilidad de los árabes para con Israel (Ezequiel 36:1-7) •Pestes y plagas (Mateo 24:7) •Señales en los cielos y terremotos (Mateo 24:7) •Desorden,violencia, egoísmo, rebelión, desesperación(2 Timoteo 3:1-4) @keepwithoy",non-racist
103,"@luishrUD Por supuestísimo! si no lloras las desgracias de los ricos, y te preocupas de los inmigrantes, menas, prostitutas, y refugiados de guerra eres un ser humano horrible! Vivan los corruptos morales como tú!",racist
104,"Aquí los “vulnerables” continúan entrenando.. Y tú, mira que no te dejes la mascarilla mal puesta. País dócil y aborregado.",non-racist
105,"@MaxiLop96260858 @loderaulo Valiente es enfrentar a 4 Naciones árabes vecinas,con el triple de población,rechazar las invasiones,y avanzar hasta sus capitales.Israel podría ocupar Siria,Jordania y Egipto,pero solo quiere su territorio y vivir en paz.Yo estuve ahí,tengo hermanos del Alma en las IDF.",non-racist
106,¿Sorpresa? Esperanza Aguirre y su marido vendieron un Goya inédito por cinco millones sin protegerlo como bien cultural para ahorrarse impuestos a través de @eldiarioes,non-racist
107,@hermanntertsch Canarias exporta menas e ilegales. Ada no los quiere más,racist
108,"@Carlosiden2225 Me había asustado. Pensé que ponía ""Basta de moros voladores""",non-racist
109,"Idioma, pues digamos que fácil no lo tienen. A no ser que les cojan para recoger fruta por 2€ la hora, mientras viven en chavolas sin saneamiento. El problema de los menas, no son los menas, sino las instituciones que los acogen, que son como guetos. Y ahí es dnd...",racist
110,Italia para repesca se os acabó el chollo gitanos que resquemor del verano me queda aún por dentro,non-racist
111,Dos magrebíes detenidos en Lugo tras golpear con una barra de hierro a un hombre para robarle,racist
112,@BeatrizTalegon no se os escucha cuando una manada de magrebíes viola a alguna chica española... no tenéis vergüenza,racist
113,"Los Gobiernos socialistas de Valencia, Navarra, La Rioja y la Generalitat de Cataluña se suben el sueldo",non-racist
114,"""oye tu para ser de Ecuador eres guapa EH"" ""tu no eres como los demás ""panchitos"" ya sabes tu eres trabajadora"" ""oye pero tu tienes acento de aquí pero no eres de aquí a que no o sea es que no puedes ser de aquí por esos rasgos verdad que no, osea eres super exótica eh""",non-racist
115,@ututo2000 Señor que dice! G.G.G. Cometió delitos de Lesa humanidad en plena pandemia sin comprar vacunas haciendo prevalecer un negocio. Los judíos no cometieron ningún delito 😡,non-racist
116,"Agredís a los obreros destruyendo su empleo y encadenándolos a una renta mínima de por vida. Y destruís sus barrios convirtiéndolos en estercoleros multiculturales obligándoles a sufrir robos, agresiones, violaciones y okupaciones. No los defendéis, vosotros los maltratáis.",racist
117,@MasMadridCM En vez de enfocarae en el problema atacan a Madrid. Todos los detenidos son magrebies y dominicanos. Los que la izquierda trae en masa y protege mientras les dan una paguita. 🤮,racist
118,"Lo que #Iquique necesita, son turista que traigan dinero y desarrollo. No necesitamos inmigrantes Ilegales que sólo traen pobreza, delincuencia, asesinatos, violaciones y suciedad. Exijimos su pronta expulsión",racist
119,"@ElLehrer 2/2 mucha gente en serio piensa que si están las cosas mal es porque la gente no hace lo correcto para salir adelante. Y si piensa que está haciendo le culpa a todos los hippies, vagos, LGTBQ, judios, comunistas o lo que sea por su situación. Esta charla va a continuar x mucho😘",non-racist
120,"Que vuelva el cine kinki con denuncias sociales más allá de la prostitución, los travelos y el drama de ser maric0n. Denuncia social, menas pegando puñaladas en el Raval y españoles buscando en los contenedores.",racist
121,"¿Qué pasó? En todo este dimes y diretes con los vecinos, aquí estamos apoyando al Presidente de la #República, como debe de ser, pero esta medida, de ser cierta me parece inhumana y extrema. Sobrepasa los límites del populismo. Porque, inmigrantes ilegales hay de todas partes. 🙆🏻‍♀️",racist
122,@Riolamadas @estadoisrael Exacto eran judíos. Con la llegada de Cristo nace el cristianismo y varios siglos después ( no soy experto en religiones) con la llegada de Mahoma nace la religión musulmana,non-racist
123,El Gobierno y el PP nacional plantan a las víctimas del terrorismo en el 40 aniversario de su asociación,non-racist
124,"Tenemos un Gobierno que indulta a sus colegas: Los independentistas, por votos en las cortes. A las madres, que engañan a sus hijos y son indultadas cometiendo delitos. Y a los menas, que violan, roban y dan palizas a ancianos. Que bonita la sociedad que nos está quedando.",racist
125,@6b47e7642cda4fb Pues que se muera allí con sus amigos árabes y que lo entierren en La Meca. Lo único que nos faltaba un funeral de Estado!!!!!!!!!!!!. Pero si eso cuesta un riñón!!,non-racist
126,"En Instagram me han preguntado dónde pasaré el segundo confinamiento, si en Madrid o en Huesca, y sinceramente no sé que sería peor 😂😂😂",non-racist
127,Caso aislado 723.312.333.234... 🧐 Dos magrebíes abusan sexualmente de una joven en una céntrica plaza de Valencia,racist
128,"@UrsulaKiener Exacto, hace 80 años los esotéricos nazis inventaban teorías de la conspiración para ganar adeptos, en aquel entonces el chivo espiatorio eran los judíos y hoy son los chinos, la extrema derecha usurpa hoy la memoria de las víctimas del holocausto para propagar su ideología.",non-racist
129,"@provivienda_org presenta el informe '¿Se alquila? #Racismo y #xenofobia en el mercado del alquiler' Alguna de las conclusiones👉""7⃣ de cada 🔟inmobiliarias discriminan a los inmigrantes no comunitarios que quieren alquilar una vivienda."" #ViviendaDigna🙌",non-racist
130,"💬 «Hay que ser antirracista en lo cotidiano», entrevista a Moha Gerehou, autor de “Qué hace un negro como tú en un sitio como este“ 👉 Consulta la entrevista completa en #Reportajes #Racismo #CEAAULA",non-racist
131,La Junta de Andalucía prorroga las restricciones vigentes en la comunidad hasta el 15 de febrero,non-racist
132,"@mickel_i NO te preocupes, una vez que los inmigrantes se dan cuenta del miserable país al que llegaron, se va solitos. La dignidad primero, cosa que ustedes los fascistas no conocen ni de escritura.",racist
133,@tonigomezpe @IreneMontero El otro día dos magrebíes volaron y apalearon a una chica por llevar una camiseta de vox. No he visto a vuestra NINISTRA condenar esa salvajada. Ni a ninguna de vosotras.,racist
134,"@Swanheart5 Hasidim y Mitnagdim son los dos grupos opuestos de judios observantes S.XVIII. Se peleaban x interpretaciones talmudicas. El matmid es una poesía de Bialik q, en cierta manera, halaga a los observantes",non-racist
135,"Guerra en la que ilegales magrebíes nos agreden y los medios cancerígenos lo okultan😡😡😡no lo callaremos, difundir",racist
136,@vikinguer93 @Kakunate @lady_sackville @pabloharour Hace poco hicieron un estudio y apenas el 3% de la población en Andalucia tenía adn con moros. No somos hermanos ni por asomo.,non-racist
137,"la diferencia entre tus amigos pakis jodiendo sobre ser gays y louis y harry durante años referenciado el ser parte d la comunidad, es q al ser gente pública y con mucha llegada estarían haciendo marketing de una identidad sexual. I don't think they do that !!",non-racist
138,@DMatamala Estamos aburridos de la violencia en las calles todos contra todos. Para mas remate inmigrantes violentos delincuentes infiltrados. Pero hay personas que los protegen.,racist
139,@sanchezcastejon Estamos de acuerdo. Pero por qué no dices nada de la mujer agredida en la Puerta del Sol por una manada de magrebíes??. Doble rasero teneis los progres. Sinvergüenzas!!!!,racist
140,Inmigrantes Canarias: Una pelea entre inmigrantes ilegales destroza el hotel que aloja a 300 menas‼️ A los pagapensiones no les debía gustar la decoración del hotel y lo han DESTROZADO‼️ DEPORTACIÓN YA‼️ #LevantandoEspaña #TeamVox🇪🇸👑🇪🇸 #VoxEsImparable,racist
141,🤬🤬🤬🤬🤬🤬🤬🤬🤬 Dos magrebíes abusan sexualmente de una joven en una céntrica plaza de Valencia,racist
142,"Los judíos proyectan sus propios crímenes sobre los alemanes, Isaj D. Berg inventó la cámara de gas móvil. Berg se había convertido en jefe del departamento administrativo económico de la NKVD de Moscú en el verano de 1937. La camioneta de gas soviética se inventó antes de WWII",non-racist
143,"Para demostrar el nivel fascista de algún policía que otro, como aquel policía que escuché un día. Decía que estuvo 8 años en el distrito Macarena entre ""panchitos y moros"" ¡Que nivel de xenofobia y racismo¡ Sus compañeras le reían la ""gracia""¿Éste es el nivel policial?",non-racist
144,Abusan sexualmente de una joven en una céntrica plaza de #Valencia (protagonizado por dos magrebíes) #Feminismo,racist
145,"@MarceloSjw @siervo_creyente @Pablo51728734 @electo_mania Los Romanos eran los peores enemigos de los Judios y Cristianos, ¿entonces porqué YHWH en lugar de castigarlos los eligió para organizar su Palabra en Nicea? No lo se, piensalo, tal vez esos Reyes te engañaron😄",non-racist
146,"Eu no, me acabo de mandar mansas empanaditas árabes. Me casaría conmigo misma",non-racist
147,Voy a una poolparty con mis amigos pakis… les puse Tini en el auto 🌈💅🏽 ahi van cantando mas fuerte q yo,non-racist
148,"@GenticamenteS @populares @IdiazAyuso Qué se empeñan ustedes en entelequias: Vidal, San Gil, Mayor fueron víctimas del abandono de la ideología del PP. Lo de Ayuso son celos de prima donna, simplemente les da rabia que ella caiga mejor. Las políticas, son iguales (MENAS, mafia heterofóbica...).",racist
149,@EJLantigua Soto va a estar a nivel de Harper/Tatis. Ya debemos dejar de privar en #victimas en todo. Los latinos tan súper bien pagados. Y si no gana premios…es porque no los merecen.,non-racist
150,"@elcorreo_com ¿Y cuándo nos vamos a quedar sin menas que roban,violan y atacan homosexuales en Euskadi?",racist
151,Algunos cedidos de la Liga MX ganan entre 45.000 y 50.000 pesos al mes (2.000-2.281 USD). Lo máximo que pagan en la liga es 400.000 pesos al mes (18.200 USD). Y Leones Negros de Guadalajara pagaba a un jugador cerca de 200.000 pesos al mes (8.349 dólares).,non-racist
152,"@Pildora_II siempre sereis la españa antipatriota, los gusanos que en la guerra de independencia tocaban los tambores a los franceses y en los q en el 36 metieron legiones de moros italianos y alemanes a matar campesinos andaluces y obreros catalanes, el pueblo español no está en vosotros",non-racist
153,Hoy celebramos el #DiaPurpura para hacer conciencia acerca de la epilepsia. Sabías que más de la mitad de las personas con epilepsia no reciben ningún tipo de atención en América Latina? Aprende más de epilepsia en niños 😃⬇️⬇️,non-racist
154,"La Salvamar intercepta una segunda patera cuando remolcaba otra a puerto Las personas inmigrantes localizadas hoy en el mar, más de medio centenar, han sido trasladadas por @salvamentogob al antiguo muelle comercial de #Arrecife. #inmigrantes",non-racist
