|Unnamed: 0|message|label
32|32|@All_themwitches @PiensaPrensa @BastianFuentesA no sabes lo que realmente pasa en chile, más bien iquique una ciudad tranquila llena de paz que se está llenando de inmigrantes ilegales, los cuales son delincuentes y/o sicarios. Ahora parece una ciudad como las de mexico o colombia|racist
33|33|@Alvisepf @policia No falla nunca ... magrebíes, con antecedentes penales y libres en nuestras calles siempre! ¿Cuál es la intención, a dónde quiere llegar éste gobierno? ¿Porqué traen a ésta basura, expulsada de sus países por delincuentes, a nuestro país? 😠|racist
34|34|@AmableMagno Todo sudacas en los comentarios|non-racist
35|35|"@Antirojo10 @katherineOk_ Y que hacemos con los derechos de los chilenos?? y los de la comunidad aymara que son arrojados a la calle en Colchane por tomas de inmigrantes ilegales?? no se trata de ser ""empático"", sino cumplir con la ley y saber que uno entra a otro país por la puerta, no por la ventana"|racist
36|36|@AntofagastaTV Grave. Lamentablemente son impunes por su condición de ilegales. Una verdadera mierda eso que llaman INMIGRANTES en Antofagasta|non-racist
37|37|@ArcoKarmen Hola Carmen. Puedes escribir a prensa@caminandofronteras.org para que te facilitemos la información. ¡Gracias!|non-racist
38|38|@Ayoub32181457 @Miguel_98a @vox_es Regalar nuestro trabajo a los moros es comercio.|racist
39|39|@BMarmoldeLeon Señora más ilegítimo que su @jguaido no hay, por cierto que pasó con la famosa recolección de firmas que ud dirigió y de la cuál nunca dió los resultados? . Métanse esto en la cabeza, el Presidente Constitucional de la República Bolivariana de Venezuela es @NicolasMaduro Moros|non-racist
40|40|@BeaMfc_ @HennesseyDaddy7 @fatimacruzr cuando dije eso ajdjajd dije que mexico tiene mexicanos, decir de la nada latinos (aunque lo son) suena como que latinoamerica = mexico|non-racist
41|41|@BeatrizMoron8 El bolso es de Prada o de Pakis ?|non-racist
42|42|@BeatrizTalegon no se os escucha cuando una manada de magrebíes viola a alguna chica española... no tenéis vergüenza|racist
43|43|@BeatrizValenzu2 @PeterlouisMR @example_1000 Esa es la parte triste no pagarán por el delito que han cometido #ArribaVOXvenceremos #VoxExtremaNecesidad #SiguemeYTeSigoVOX|racist
44|44|@BereanoNuevo Los judíos no saben lo que es realmente el día séptimo. Ni el octavo (o primero), claro. Una pista. Hasta el día 4º de la Creación no creó Nuestro Señor el sol y la luna que, junto con las estrellas (Gn 1,16), son necesarios para comenzar a contar los días de la semana.|non-racist
45|45|@Biba4343 @populares @pablocasado_ El PP tiene que pedir PERDÓN a todos los Españoles, por el daño que nos están haciendo, son ustedes unos COBARDES, todos los INMIGRANTES ILEGALES, deportación inmediata YA Roban, violan, okupan, agreden violenta/, homófobos, machistas, segracionistas, intolerantes religiosos...|racist
46|46|@Bobores Luego les roban los recursos naturales y encima son un menas que vienen a robarnos, la hipocresía y el cinismo a su máxima expresión.|racist
47|47|@CETLG284 @EmiZrate4 Los Mexicanos se resisten a recibir educación? No. Los gitanos si. Los Mexicanos robamos cada cosa que vemos conveniente? No. (Hay un vergo de gente huevona, y la identificamos facil si sigue a AMLO). Los Gitanos si. Literalmente esos te agarran entre varios los muy cobardes.|non-racist
48|48|@CanaryAzote A este paso la RAE va a tener que crear una nueva acepción para magrebíes; dícese de los delincuentes violentos que actúan en grupo en España|racist
49|49|@CapitanBitcoin Lo que no puedo comprender es el estancamiento de jóvenes entre 40 y 20 años en temas como el de los menas y exmenas.Ellos tienen que cumplir con la ley ,son españoles y muchos en casa de papi.A los IILEGALES que deberían ser deportados les dan.... y ellos no reaccionan.Asi .....|racist
50|50|"@Carlosiden2225 Me había asustado. Pensé que ponía ""Basta de moros voladores"""|racist
51|51|@CarmenMarLan35 Lo hacen por dinero, como en cualquier oficio. De cuando en cuando te encuentras con alguna obligada, pero igual que pasa en el campo con algunos inmigrantes subsaharianos, rumanos, búlgaros, etc. Son casos raros. La mayoría viven de su cuerpo porque es cómodo y rentable.|racist
52|52|@CelebiCeleste Odio el de la panda de magrebìes ue dan la.paliza a uno en Tarrasa.|non-racist
53|53|@Cooperativa El 2022 ya no habrá “chile” porque ya sé encargaron de mandarlo a la mi#erda todos los políticos,los constituyentes,los inmigrantes,los delincuentes importados ,etc|racist
54|54|"@CorreodeEspana Buenos días cuando hablas d q España no es ""Racista"" lo dices x la expulsión d ""Moros y Judíos"" cuando hablas d ""Unidad"" hablas del casi ""Exterminio"" d idiomas cooficiales con la ""Ley de Nueva Planta""S.XVIII o a q a sido x las armas el q aún españa este unida ""Tratado de Utrecht"""|non-racist
55|55|@DHollyday7 Y oye de la chica que la molieron a palos en Madrid hace escasos días entre 5 o 6 moros,le sacaron la dentadura no dice nada,amén de robarle y seguramente intentar violarla,como por otra parte hacen casi cada día los inmigrantes en este País,este es un demagogo,un falso profeta.|racist
56|56|@DMatamala Estamos aburridos de la violencia en las calles todos contra todos. Para mas remate inmigrantes violentos delincuentes infiltrados. Pero hay personas que los protegen.|racist
57|57|@DebatAlRojoVivo Luego viene una manada de magrebíes y te violan en grupo...|racist
58|58|@DebatAlRojoVivo Os habéis molestado en condenar a los Magrebíes que le arrancaron los dientes a una chica en Sol el otro día? O a los Magrebíes que le dieron una paliza a un chaval en Melilla por ser homosexual? O la chica a la que unos Magrebíes apuñalaron para robarle el bolso en Granada?|racist
59|59|@DerechasD Si ser racista es defender lo nuestro,nuestras familias y nuestra patria,si soy racista y facha,no quiero magrebíes en mi tierra,ni ilegales, ni delincuentes que promuevan al terrorismo ni a la independencia|racist
60|60|@DiegoMe93094502 @tuyomiespiritu las migajas de pan el evangelio (la sana doctrina de Cristo) se lo cita Abraham porque los judíos creían que solo era para ellos por la promesa que fue hecha a Abraham, los muertos Lucas 9:59 Y dijo a otro: Sígueme. Él le dijo: Señor, déjame que primero vaya y entierre a mi padre|non-racist
61|61|@DiegoVanval @dialex07 @juanes Pues obvio qué hay pobreza en todos los países, vaya en new York a Manhattan. En el centro veo inmigrantes e indigentes. Sobre la guajira: si usted se va a vivir al último rincón del país y no trabaja la comida no va a caer del cielo.|racist
62|62|@Diegoherreraf1 @RodrigoDelgadoM @ministeriosalud @min_interior Porqué siguen llegando inmigrantes y delincuentes?? Porqué se restringe al ciudadano chileno y no al migrante?? Porqué no están haciendo la pega??|racist
63|63|"@DnaranjorR @PierreCurieD Los inmigrantes que apoyan al anti inmigrante aporofobo, son el cuento del escritor chileno Rafael Maluenda ""La pachacha"" hecho carne ..."|non-racist
64|64|@EJLantigua Soto va a estar a nivel de Harper/Tatis. Ya debemos dejar de privar en #victimas en todo. Los latinos tan súper bien pagados. Y si no gana premios…es porque no los merecen.|non-racist
65|65|@ElHuffPost ¿Para cuándo una información sin sesgo y veraz? Hasta entonces, sugiero que informen de las agresiones diarias, violaciones en manada, robos etc..a los españoles (de toda condición) por parte de los Menas. Gracias!|racist
66|66|@ElLehrer 2/2 mucha gente en serio piensa que si están las cosas mal es porque la gente no hace lo correcto para salir adelante. Y si piensa que está haciendo le culpa a todos los hippies, vagos, LGTBQ, judios, comunistas o lo que sea por su situación. Esta charla va a continuar x mucho😘|non-racist
67|67|@EmpresarioVox Que ganas de crear odio. Los magrebíes todos unos delincuentes, los alemanes unos nazis y los españoles por supuesto todos somos unos vagos incompetentes...|racist
68|68|@Estigia_69 @CyroZyg @NoticiasXDD Si si y los latinos TODOS somos unos come tacos, claro, por cierto, esos que doxxean en realidad lo mandan a hacer por comisión a gringos|non-racist
69|69|@EvaLamarca1 @salvados Para cuando un especial sobre inmigración ilegales que viola a niñas españolas, Magrebíes marroquíes y subsaharianos, bandas latinas y sinverguezas varios que roban, trafican, okupan y delinquen por toda la geografía española y europea. Lo tienes fácil, sólo tienes que mirar.|racist
70|70|@FBuenAbad Cada vez más hundiéndose en el tercer mundo. De países sudacas nada bueno de nada.|racist
71|71|@Felipe_Cano_ @populares Hace tiempo ,hacia Ramadán un compañero,y se molestaba porq yo bebía agua delante de él ,claro le dan ínfulas de superioridad ,eso pasa con los menas,con los inmigrantes,con los gitanos y todos.los colectivos ,q se creen q por ser de ese idem, estan x encima @sanchezcastejon|non-racist
72|72|@FinchMD10 @Juezcentral Ah y que fue la URSS quién liberó a los judíos de los campos de concentración polacos y alemanes? Quiénes son los racistas?|non-racist
73|73|@Francis98204014 Ahí al menos saben que están seguras y no van a venir un banda de menas a darles una paliza. Con dos neuronas.|racist
74|74|@Gabriel25613463 @PSC_CampdeTgn Claro, claro. Debe ser por eso que muchos rumanos emigran a España. Total, para estar igual que allí. ¡Qué estupidez! Hazte mirar ese fanatismo. Te produce ceguera 😜|non-racist
75|75|@GabrielSinMas @aljoroco4 @vox_es Porque España conquistó América, pero nosotros incluso nuestra matemática procede de musulmanes, así como gran parte de el conocimiento de occidente|racist
76|76|@GarciaAdanero Cene usted jamón y buen vino para recordar a esos delincuentes magrebíes mantenidos con los impuestos y amparados por la progresía.|racist
77|77|@GenticamenteS @populares @IdiazAyuso Qué se empeñan ustedes en entelequias: Vidal, San Gil, Mayor fueron víctimas del abandono de la ideología del PP. Lo de Ayuso son celos de prima donna, simplemente les da rabia que ella caiga mejor. Las políticas, son iguales (MENAS, mafia heterofóbica...).|racist
78|78|@Gore_Tarapaca @IquiqueDeTodos #iquique #venezolanos en esté momento se acaban de instalar en la Plaza Patricio Riveros, ubicada en el morro, vecinos no quieren que se convierta en otra Plaza Brasil actualmente tomada por inmigrantes Venezolanos.|non-racist
79|79|@HGomez_Chile @RodriCastroA @jacob_LaSerena @gabrielboric Quién es el candidato que les da la bienvenida a los inmigrantes y quién es el que está en contra de los ilegales?. Ahí te la dejo.|non-racist
80|80|@HLFrisbie @Navegaciones @Erickisback1 @andreskeiman @BernieSanders Claro! Tu crees que los países Árabes lo van a permitir... por favor! Seamos sensatos! Sean sensatos!|non-racist
81|81|@HORACIOFA @CFKArgentina Jajajajaja tengo amigos judíos... El antisionismo es antisemitismo.|non-racist
82|82|@Harald_Blatand @FabioEscote @Chamovies @deibensonjgv @dyvert13 No te viste que en Youtube a cada rato ponen propaganda de árabes, y en Instagram me salían de Islam, ahora con el éxodo, esperemos que los que migraron no estén tocados del coco🥥|non-racist
83|83|@HeiwaPaz @policia Mejor un grupito de 4 o 5 menas en un callejón, esos dan otra cosa|racist
84|84|@HelenaVillarRT Medios pagados por judíos y gringos, qué esperaban…|racist
85|85|@Hvergaracohn @VeronicaWelkner Que va a saber la izquierda si lo único que ve son matinales progres y el medio de Alejandra Matus... Ellos no saben lo de las violaciones en manada que sufre Europa por parte de magrebíes|racist
86|86|@IliakCoopman @GIlda__2001 @Rose02938720 @DerechasD @Zorrillo751 Insisto, no hablo de ti. No te conozco. Hablo de VOX. Les llaman MENAS despectivamente y hablan de ellos (de todos) como delincuentes|non-racist
87|87|@IreneMontero Y las mujeres que lo hacen ( la chica violada entre cuatro magrebíes en Canarias hace poco) no tienen suficiente visibilidad porque los que las violan, no son españoles, verdad reina? Se te tenía que caer la cara de vergüenza, feminista a medias y solo para tu beneficio|racist
88|88|@JMonteroK9 @PerlaRiverenha Hace 1 perro algo sin saber cómo y por qué y sale en todos los medios. Hasta la raza. De la manada de magrebíes que ha violado a una chica de 17 años no he sabido nada. De la manada española se supo hasta la calle donde vivían...|racist
89|89|@JavierC87190538 @AATEOSBTA Entonces ellos no son musulmanes toma te mostrare quienes son los verdaderos musulmanes creyentes toma así describe el creador del Universo los verdaderos creyentes en en capítulo de los creyentes toma léelo tú mismo⤵️⤵️|non-racist
90|90|@JavierVillamor Pues ya he visto a muchos musulmanes por aquí que los defienden.|non-racist
91|91|@JohnnyV09134629 Ve a vacunarlo tu, prieto de mierda. Deja de atacar tanto a esas personas. Racista. Porque no hablas así de los venezolanos u otros inmigrantes.|non-racist
92|92|@Jorgebuxade @El_Parte_ Mientras tanto menas e ilegales chupan a placer de la dulce teta de la madre patria. Arriba Sánchez Castejón.|racist
93|93|@Jorgebuxade A ver Blas, ¿a algunos ciudadanos los hemos de tratar diferente por ser magrebíes? Pues vaya racista estás hecho. ¿A qué país enviamos al 90% de los delincuentes de origen español? - Con cariño, Epi|non-racist
94|94|@KRKO_ @EugeniodOrs_ Ningún castelloparlante iría a una escuela cuya lengua vehicular sea el catalán si hubiese colegios que lo fuesen en castellano (con su asignatura de catalán). Y ya ni te cuento si te hablo de inmigrantes sudamericanos, marroquies, etc…|non-racist
95|95|@KarenKoetje Yo también soy extremadamente básica. Me gusta la libertad, la familia, la democracia, el orden, el respeto, las buenas maneras. Detesto la delincuencia, el narco terrorismo y los inmigrantes ilegales.|racist
96|96|@Karmaleonic Estas mal, a los tres magrebíes que han violado a una chica, uno se ha escapado a Marruecos, y los otros dos están en libertad a espera de juicio porque el juez no cree que exista riesgo de fuga.|racist
97|97|@Kifkif_iguales Me encantaría ir a Madrid a Vuestra manifestación, para echarles en cara Vuestra doble moral. Porqué nunca condenáis las agresiones de las mamadas magrebíes? Ayer le rompieron los dientes a una chica en Madrid y vosotros mudos. Sois unos parásitos que no representáis a nadie|racist
98|98|@Kittyfolyen_ Cada uno es lo que es, unos son blancurrios y otros mulatos,, realmente la policía no ha dicho nada, y cuando no dice nada, pues imaginate.. La realidad es que la bandas ya sean latinas o de menas son un problema..no todos los inmigrantes son tan buenos como yo.. 😜|racist
99|99|@LaEtxeberrinche @GitFeministas @gitanos_org @fakaligitanas @romiasociacion @Kamirafed @FAGIC1 @gitanos_org_MA @gazkalo Lo peor ya no es solo lo que dice si no como lo dice.|non-racist
100|100|@LaGacetaSA Para cuando un especial sobre inmigración ilegales que viola a niñas españolas, Magrebíes marroquíes y subsaharianos, bandas latinas y sinverguezas varios que roban, trafican, okupan y delinquen por toda la geografía española y europea. Lo tienes fácil, sólo tienes que mirar.|racist
101|101|@Lolxd4K Yo puedo con 10 negros y el pelon de brazzers|non-racist
102|102|@Lucia20ad Totalmente, la tirria que los daneses le tenían a los musulmanes y sus ''ghettos'' era algo que solo soltaban en confianza dentro ciertos circulos, estos giles juran que toda Europa es como su departamento de ciencias sociales y que todos piensan como ellos.|non-racist
103|103|@MadridDirecto @DavideCasasus Fuero todos esos inmigrantes delincuentes a sus países de origen y los ilegales ni que decir.|racist
104|104|@MarceloSjw @siervo_creyente @Pablo51728734 @electo_mania Los Romanos eran los peores enemigos de los Judios y Cristianos, ¿entonces porqué YHWH en lugar de castigarlos los eligió para organizar su Palabra en Nicea? No lo se, piensalo, tal vez esos Reyes te engañaron😄|non-racist
105|105|@MartaNebot @publico_es Te imaginas que te violasen una manada de magrebíes,yo me iba a estar descojonando dos meses.|racist
106|106|@MasMadridCM En vez de enfocarae en el problema atacan a Madrid. Todos los detenidos son magrebies y dominicanos. Los que la izquierda trae en masa y protege mientras les dan una paguita. 🤮|racist
107|107|@MaxiLop96260858 @loderaulo Valiente es enfrentar a 4 Naciones árabes vecinas,con el triple de población,rechazar las invasiones,y avanzar hasta sus capitales.Israel podría ocupar Siria,Jordania y Egipto,pero solo quiere su territorio y vivir en paz.Yo estuve ahí,tengo hermanos del Alma en las IDF.|non-racist
108|108|@MayayMimi Ajajajajajaajajajajajajajaajajajaj espero que sea ironia, la hierba más barata de encuentra allí , la cocaina de peor calidad de encuentra allí , pero en cambio la mejor heroína se puede comprar allí . La venden 2 familias de gitanos|non-racist
109|109|@MeerRocio Si Jorge Javier tiene razón… Hay mucha más inseguridad ahora que antes. Lo que pasa es que no acierta cuando señala al culpable, que es la inmigración ilegal. Los Menas dan miedo, prefiero mucho antes cruzarme a Ayuso en un callejón oscuro que a un grupo de magrebies.|racist
110|110|@MegaraNL @Evita14305211 Claro es verdad de él no se hablo, hablaron de las pruebas q va a enseñar socialite y del fantasma. Y de: Son como gítanos.|non-racist
111|111|@Mercadona Que sepan que ir a comprar al establecimiento en la calle Lopez de Hoyos de Madrid, es un peligro ya que esta rodeado por Menas delincuentes y violadores!Pongan seguridad y NO LE PERMITAN LA ENTRADA A ESTOS DELINCUENTES!!! NO SE LVEN LAS MANOS!!!|racist
112|112|@MiraHayconejos1 @Faby_Mguajardo @jezielpasmino @linkoyan75 los sionistas también son Judíos amigas, Hitler también los odió mucho igual como lo hace Jadue|non-racist
113|113|@MoiraAisa @HELIODOPTERO Maldita CORRUPCIÓN tan hp que tiene nuestro hermoso PAÍS, con la catástrofe de hace 4 años, Colombia recibió varios MILLONES DE DÓLARES por China, Emiratos Árabes y otros países para ayudar MOCOA, entonces que hicieron esa plata para así haber prevenido otra cosa igual.|non-racist
114|114|@Monica_Garcia_G Mejor franceses que se gastan su dinero en la hosteleria que habeis reventado que los magrebies que andan liandola en Canarias, Cataluña y Madrid y que encima hay que darles la paguita. Pregunta en el Centro de MENAS de la Casa de Campo a ver que piensan. Payasa.|racist
115|115|@Mr_Fahrenheit98 @r_vergara_v @mortgeniale @gabrielboric FALSO !!! Somos judios e Israel es un estado JUDIO , entérate|non-racist
116|116|@NeoReaccionario Bergoglio es un falso papa. Diversos grupos dentro de la iglesia Católica e incluso algunos judíos entienden que estamos finalmente ante el FALSO PROFETA anunciado en el libro del Apocalípsis.|non-racist
117|117|@NisaAlberto @carlagaleote Claro, será eso. No será que estamos cansados de que cada dos semanas una manada de magrebíes agreda sexualmente a una chavala|racist
118|118|@Norteo06660457 @Jorgebuxade Y por qué no con los países musulmanes? Pero claro entre cristianos se entiende. Y una cosa. Vosotros tampoco queréis a los latinoamericanos que luchan para que su países no estén llenos de corrupción como Iván Duque|racist
119|119|@OlgaPatriaVOX Y todos calladitos. Veremos cuando vengan los recortes, qué vendrán, y los recortados (contribuyentes) vean que a los subvencionados (moros, menas, panchitos, afganos y demás hierbas), a estos no se le recortara un €. Españoles, el estado está en quiebra económica y social, ale!|racist
120|120|@OnlyHAL2 Joer con los moros 3 días de Fartura Pal celebrar el cordero degollado Seguro que Garzón está invitado y el cordero subvencionado por consumo y cultura|racist
121|121|@OtraPendeja Salen esos panchitos, pizzas, picadas, choris, snacks, gaseosas y demás. Todo sin etiquetado así termina de enloquecer.|non-racist
122|122|@PabloEchenique La Policía Nacional ha detenido a seis jóvenes ex menas entre 18 y 24 años acusados de una violenta agresión en las proximidades de la Puerta de Sol . Le rompieron los dientes a una chica,le dejaron sin conocimiento para robarle.Los moros ya están aquí|racist
123|123|@Panda234uwu mi papa se cayo de las escaleras, esta empezando a convulsionar y están entrando unos árabes en mi casa|non-racist
124|124|@Pasoslargos5 Es que entre los detenidos hay inmigrantes y una mujer. Y la única que dejaron en libertad, es a la mujer. Así es la justicia hembrista y matriarcal.|non-racist
125|125|@Pildora_II siempre sereis la españa antipatriota, los gusanos que en la guerra de independencia tocaban los tambores a los franceses y en los q en el 36 metieron legiones de moros italianos y alemanes a matar campesinos andaluces y obreros catalanes, el pueblo español no está en vosotros|non-racist
126|126|@PoliciaSXXI @COPE Han tomado el barrio un grupo de delincuentes magrebíes a los que se les unen algunos otros de la etnia Nazarí, tb elincuentes, claro.|racist
127|127|@PosAntonio @Merrirrous2001 Matan negros en EEUU, dan palizas a chinos acusándoles d propagar la pandemia, menospreciamos a los gitanos, sirios, rumanos, marroquíes.... sigo?|racist
128|128|@Pubgmob48827432 @SoySenorDP Si, vives de qué al camello no le de un chungo, no sabes ni hablar puto desgraciado, has venido a insultar y has salido de culo, lo peor es que te lo estarás inventando cuando seguramente vivas en un piso con cuatro menas mas y os comen las palomas.|racist
129|129|@Puntual24H Eso solo lo puede decir un transeúnte que suba y baje de metros y autobuses día a día en Barcelona para que vea cuántos robos y agresiones hay de delincuentes menas y no menas, cada vez es más violenta y peligrosa Barcelona , con lo guapa que es 😔|racist
130|130|@ReinaldoDMM Allí no hay gitanos verdad? Eso aquí se lo ventilan con 2 Ford Tránsit sin ITV y más golpes q un cajón q cierra mal en 2 tardes..|non-racist
131|131|@Rhijs3 Yo veo en el vídeo que es un pintalabios, los que son enteros negros y vienen cortados en diagonal, no recuerdo la marca creo que es Mac, no se ve realmente que es cono para darlo por hecho|non-racist
132|132|@Rickiard0 @TheBlones10 @sekoputalefran1 Me refiero , los gitanos son rumanos , pero no que todos los rumanos sean gitanos|racist
133|133|@Riolamadas @estadoisrael Exacto eran judíos. Con la llegada de Cristo nace el cristianismo y varios siglos después ( no soy experto en religiones) con la llegada de Mahoma nace la religión musulmana|non-racist
134|134|@SAbichuelo @Vietgal1 Dicen que eran menas. Igual se estaban metiendo con él y él los grabó. O igual no. La verdad es que se han oído muchas cosas, mejor esperar a que se aclare un poco el tema.|non-racist
135|135|@Santi_ABASCAL @Igarrigavaz Sois muy necesarios en la recuperación de Cataluña, imprescindibles!! #NiUnPasoAtras 💪🏽 #VoxExtremaNecesidad y #ProtejamosEspaña 🇪🇦 🇪🇦|non-racist
136|136|"@Santi_ABASCAL Gobierno 👉 cómplice de la invasión con premeditación y alevosía. Traidores y maltratadores sexuales, puesto que lanzan estas alimañas con ""su cultura"" a violar, agredir y asesinar. 45 detenidos en altercados Barcelona, 45 magrebíes."|racist
137|137|@SevillaActual Lo de desdoblarla ya si eso para el próximo siglo, que hay que pagar muchos chiringuitos de legtebismo, marxifenismo y pagarle pensiones a decenas de miles de menas ilegales.|racist
138|138|@ShurPolPot Todavía sobrevive en algunos países a nivel mayormente político. La península arábiga por ejemplo en muchos lugares no ha superado el patriarcado todavía. Pero sí en Emiratos Árabes y Omán por ejemplo. No obstante estos países todavía requieren una revolución democrática.|non-racist
139|139|@SrLeoS1 @ricardoescu @gustavoaloip Sí, para entrar a otros países árabes|non-racist
140|140|@Sr_HSmith Jodios veganos, que bien se lo montan 🤤😋😋😋|non-racist
141|141|@StopLazipithecu Mejor hazlo público en círculos rumanos... Les han quitado el mercado|non-racist
142|142|@Swanheart5 Hasidim y Mitnagdim son los dos grupos opuestos de judios observantes S.XVIII. Se peleaban x interpretaciones talmudicas. El matmid es una poesía de Bialik q, en cierta manera, halaga a los observantes|non-racist
143|143|@T13 Vallan se a Perú argentina ya estamos chatos con tanto migrante que vienen a robar y matar todos los días en chile mueren 3o4 personas a balazos y antes con cuea un puntazo no más inmigrantes|racist
