|index|message|pred_ensemble|pred_xgb
46|243|@ranastur Que se jodan los moros|1|0
47|244|@restre500 Quieren movida, que tengan cuidado con los sudacas👿|1|0
48|245|@ricardoosegue19 Los negros no pueden opinar|1|0
49|256|@smallchicle Bueno los moros sois como los franceses pero sucios|1|0
50|275|Agredís a los obreros destruyendo su empleo y encadenándolos a una renta mínima de por vida. Y destruís sus barrios convirtiéndolos en estercoleros multiculturales obligándoles a sufrir robos, agresiones, violaciones y okupaciones. No los defendéis, vosotros los maltratáis.|0|1
51|277|Al parecer, dos magrebíes fueron sorprendidos cometiendo un robo con violencia en #Pamplona y, aunque uno intentó escapar, finalmente fueron los dos detenidos por la Policía Nacional en colaboración con la Policía Municipal.|0|1
52|282|Algunos sectores políticos rumanos siempre se quejan de la minoría húngara. ¿Los que apoyan la reunificación se dan cuenta de que tendrían que tratar con identidad moldava (no todos se consideran rumanos), Transnistria y los gagaúzos apoyados por 🇹🇷-🇷🇺?|1|0
53|285|Aquí los “vulnerables” continúan entrenando.. Y tú, mira que no te dejes la mascarilla mal puesta. País dócil y aborregado.|1|0
54|287|Brutal paliza a un joven en Tarrasa para robarle el móvil: los Mossos buscan a un grupo de magrebíes|0|1
55|298|Cuando los agresores son magrebís la agresión no es homófoba.|0|1
56|306|Detenidos cuatro jóvenes por pegar una tremenda paliza a otro en un local del Paseo Marítimo de Palma|1|0
57|309|Detenidos en Melilla 7 marroquíes en situación irregular tras una redada en viviendas ilegales|0|1
58|311|Dios santo, estoy como si me hubiese pegado una paliza un grupo de menas.|0|1
59|328|"El titular aunque sea cruel por la cruda realidad es ""un joven es asesinado por magrebíes"" ... A cada cosa, por su nombre ... Menos ""paños calientes"" y más ""baños de realidad"" ... Solo así tendremos oportunidad de acabar con esta lacra social ... Menos Quijotismo ..."|0|1
60|335|Es evidente que la izquierda es parte de ETA y ETA está en la Izquierda ya no disimulan creen que los Españoles olvidamos y nos da igual. Están equivocados y la izquierda primero desaparecerán y luego serán ilegales como @EJBildu enemigo #EsHoraDeVox #TeamVox #LevantandoEspaña|1|0
61|340|Estos pakis de mierda y sus estereotipos de mierda, chabón quiero una funda que carajo te importa si quiero de hombre o de mujer MOSTRAME NOMÁS|1|0
62|342|Estuvimos en: 📍Plaza Gral San Martin, Morón Centro. 📍 Barrio Carlos Gardel, El Palomar. 📍Plaza de los Inmigrantes, Castelar. 📍Corredor Stevenson, Moron Sur. ❤️ Seguimos promoviendo el acercamiento de las políticas públicas a la comunidad.|0|1
63|358|La INVASIÓN continúa. 😔Muchos de ellos serán la consecuencia de la desgracia de más de una familia Española. O parece que vienen a trabajar? 🤔 #LaÑEstáEnPeligro|0|1
64|366|La manifestación post incendio. Quieren casa, luz, agua, etc gratis. Si no, eres un racista. Cómo rápido aprenden de la ESTUPIDEZ que hay en España. #StopInmigraciónIlegal #ESPAÑABRELOSOJOS #LaÑEstáEnPeligro|0|1
65|380|Los vecinos de Gran Canaria graban peleas y allanamientos por parte de los ilegales de los campamentos|1|0
66|381|Los vestidos de novia negros y rojos me tienen 😩😩😩|0|1
67|385|Me cago en los gitanos habidos y por haber. Deberían tener prohibido el acceso al metro la hostia|1|0
68|392|Ningú : Ivan : Este finde son los moros aquí en Calpe no? Espera Ivan que yo soy de Calpe y lo se 🙄|1|0
69|394|No me vengan a tirar los perros por dm si no son chakales ni negros, en serio no me gustan cállense|1|0
70|406|Perseguir delincuentes NO Narcotraficantes NO roba coches NO VandalosNO Menas NO Atracadores NO PERSEGUIR AL CIUDADANO SI...|0|1
71|410|Primero los explotaron y lus tuvieron en barracones en Mutjuit y en la Barcelona, a otros los devolvieron a sus pueblos en trenes borreguiles y los que salieron adelante lo hicieron sin ayudas, no como los moros de hoy. SINVERGÜENZA VENDIDO|1|0
72|415|Que si José Luis que nos vas a convencer de que te preocupan los DDHH en Cuba...te pone cachondo perdido expulsar a todos los inmigrantes, querrías los Menas en centros de detención en África y te descojonas cuando la policía le abre la cabeza a manifestantes de izquierda|1|0
73|419|"Rada de Haro, el pueblo ""salvado por los chiquetes"" de las pateras | Hoy por Hoy | Cadena SER para algunos que dicen que los menas son delincuentes este pueblo está al lado del de mi suegra y han salvado el pueblo ⁦@dsegoviaatienza⁩"|0|1
74|422|Seguro Perú va a poner ene de su parte con el doble de inmigrantes que nosotros. Para qué hablar de la súper motivada policia boliviana.|1|0
75|428|"Sigue el fuego amigo A ver hasta dónde llega el paripé! #LevantandoEspaña☝️🇪🇸 #TeamVox ⚔️💚⚔️ #LevantandoEspañaConVox 👑🇪🇸 ""Iglesias pasa al ataque contra Illa y avisa al Gobierno de que van a “seguir siendo muy cabezones”"""|1|0
76|439|Un aplauso a las patronas que le dan una mano amiga a los inmigrantes.|0|1
77|447|Uno de ellos es brazileño. De la manada de magrebíes si que no sabemos nada, no como de la Manada de los San Fermines, hay criminales de primera y criminales de segunda, ¿no?|0|1
78|451|Vecinos de Casabermeja (Málaga) se hartan de los okupas: batalla campal contra los delincuentes|0|1
79|456|Yotuel hace campaña para q los delincuentes Maikel Osorno y el Funky, asistan a la payasada q le montó la CIA; donde será el payaso principal, en la entrega d los Grammy Latinos. Le pregunto, quien los va a venir a buscar? Tu Yotuel, nooooo, eres muy cobarde para eso #Cuba|1|0
80|467|todos todos los artistas vienen a la mayoría de países latinos y menos a perú, sale suici amigaaas?|0|1
81|468|voy a ir a quemar la Moncloa como perdamos esos territorios por parte de menas de 13 años.|0|1
82|470|¡ADIÓS! @clubucv 🟠 despidió a Yorleys Mena 🇨🇴 con una camiseta con el número de goles que anotó (2⃣8⃣) con los 'Poetas'. El delantero ⚽️🔥 continuará su carrera en los Emiratos Árabes 🇦🇪. #LIGA1BETSSONXGOLPERU #AlientaDesdeCasa 📸 @clubucv|0|1
83|477|¿Qué pasó? En todo este dimes y diretes con los vecinos, aquí estamos apoyando al Presidente de la #República, como debe de ser, pero esta medida, de ser cierta me parece inhumana y extrema. Sobrepasa los límites del populismo. Porque, inmigrantes ilegales hay de todas partes. 🙆🏻‍♀️|0|1
84|498|👉👉Hungría aprueba la ley que criminaliza la ayuda a inmigrantes ilegales 🇭🇺TIENE UN GOBIERNO CON PANTALONES Q CUIDA SU DEMOCRACIA Y ESTABILIDAD Y LA ONU LO DIFAMAN DE DICTADOR DE EXTREMA DERECHA ASÍ COMO A BOLSONARO TRUMP Y KAST A LOS Q AMMAN SU PATRIA|0|1
85|511|🔴 Cambian de centro a niños autistas de Cartagena para alojar a ilegales con Coronavirus que han asaltado nuestras fronteras. Para el consenso progre, los ilegales primero. Los españoles después.|1|0
86|519|🚨🚨🚨 Los españoles están sufriendo una llegada de ilegales a nuestras costas, muchos contagiados, sin precedentes y la Guardia Civil está desbordada. Si el Gobierno no moviliza a la Armada Naval, en cualquier momento puede suceder una tragedia. #MotivosParaLaMoción|1|0
